#OTU ID	d__Bacteria;p__Firmicutes_D	d__Bacteria;p__Firmicutes_C	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Firmicutes_A	d__Bacteria;p__Fusobacteriota	d__Bacteria;p__Firmicutes_B_370539	d__Bacteria;p__Proteobacteria	d__Archaea;p__Thermoplasmatota	d__Bacteria;p__Deinococcota	d__Bacteria;p__Desulfobacterota_I	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Firmicutes_G	d__Bacteria;p__Cyanobacteria	d__Bacteria;__	d__Archaea;p__Methanobacteriota_A_1229	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Synergistota
ERR2696833	0.009160305	0.014122137404580152	0	0.39637404580152674	0.5062977099236641	0	0.000572519	0.046183206	0	0	0.001335878	0.025954198473282442	0	0	0	0	0	0
ERR2696849	0.010238907849829351	0.027050941726709646	0.00644672	0.142839085	0.7919352799898876	0	0	0.012640626975097964	0	0	0.000758438	0.004803438	0	0.003286563	0	0	0	0
ERR2696935	0.003730133	0.003324684	0.00518975	0.7731916963996107	0.20807654881608822	0	0	0.006162828	0	0	0.000324359	0	0	0	0	0	0	0
ERR2697066	0.10869300911854103	0.002431611	0.000243161	0.5759270516717325	0.16486322188449848	0	0.000607903	0.008024316	0	0	0.007659574	0.12741641337386017	0	0.000364742	0	0	0	0.003768997
ERR2697069	0.10102147510657122	0.008203973	0.003136813	0.347381967	0.49336443336282476	0	0.005549747	0.002573796	0	0	0.004986729	0.033620204295021314	0.000160862	0	0	0	0	0
ERR2697555	0.033585878309771146	0.005779895	0.004608295	0.22463485120674842	0.6674998047332656	0	0.001718347	0.014371631648832305	0	0	0.000546747	0.044442709	0.00023432	0.002577521	0	0	0	0
ERR2697557	0.029595015576323987	0.022066458982346833	0.050623052959501556	0.10799584631360332	0.5106438213914849	0	0.000778816	0.001817238	0	0	0.000778816	0.2757009345794392	0	0	0	0	0	0
ERR2697608	0.027465419	0.029057618	0.000995124	0.1512588317245497	0.7556970842869938	0	0.00248781	0.003283909	0	0	0.018111254851228976	0.010846850432878894	0	0.000796099	0	0	0	0
ERR2697633	0.013319901499888069	0.054510857	0.001790911	0.3258338929930602	0.5986120438773226	0	0	0.003805686	0	0	0.002126707	0	0	0	0	0	0	0
ERR2697666	0.014917799878222043	0.007408159	0.00436371	0.4493606657195048	0.5045666734321088	0	0.001522224	0.016642987619240917	0	0	0.000507408	0.000710371	0	0	0	0	0	0
ERR2697676	0.014369404222394164	0.012711396042887145	0.002984415	0.4754062120039792	0.3313805681441362	0	0.000552669	0.14623632143251908	0	0	0	0.016359014037802586	0	0	0	0	0	0
ERR2697683	0.019142555	0.006351447	0.00194072	0.4139908256880734	0.5506351446718419	0	0.000705716	0.002734651	0	0	0.003528582	0.000793931	0	0	0.000176429	0	0	0
ERR2697703	0.019123451749013202	0.010820743160473663	0.001837485	0.18143459915611815	0.7718796787804546	0	0.00108888	0.012794338	0	0	0.00054444	0.000476385	0	0	0	0	0	0
ERR2697714	0.049315068493150684	0.049158512720156554	0.001956947	0.17487279843444228	0.589041096	0	0	0.000861057	0	0	0.000156556	0.13463796477495107	0	0	0	0	0	0
ERR2697717	0.008247732	0.021444103	0.015220814	0.19157231761265653	0.7093799205218565	0	0	0.00487366	0	0	0.00239934	0.046262277873584765	0	0.000299918	0	0	0.000299918	0
ERR2697743	0.056231003	0.023708207	0.015805471124620062	0.5413373860182371	0.16322188449848024	0	0	0.19756838905775076	0	0	0.00212766	0	0	0	0	0	0	0
ERR2697747	0.030271179314694134	0.0725247	0.001576624	0.5682152617195712	0.25635904982131597	0	0.004099222	0.049821316	0	0	0	0.016712213579987388	0	0	0.000420433	0	0	0
ERR2697749	0.037296037296037296	0.004589161	0.004807692	0.35336538461538464	0.53620338	0.000218531	0	0.020906177156177156	0	0.000145688	0.016972610722610724	0.010270979	0.000364219	0.01486014	0	0	0	0
ERR2697780	0.032203159041394334	0.007897603	0.013003812636165577	0.3059640522875817	0.6326252723311547	0	0.001089325	0.002314815	0	0	0.000953159	0.003540305	0	0	0.000272331	0	0.000136166	0
ERR2697810	0.020524781	0.028104956268221574	0.002798834	0.7420408163265306	0.17481049562682216	0	0.000233236	0.011078717201166181	0	0	0.00361516	0.016559766763848398	0	0	0.000233236	0	0	0
ERR2697898	0.010728104115371086	0.008617657	0.001231094	0.40186422792824483	0.5583890256771017	0	0.000879353	0.008881463	0	0	0.002286317	0.007122758	0	0	0	0	0	0
ERR2697916	0.023775146789873906	0.006449129	0.002502647	0.12012705746462604	0.8338627394359419	0	0.002502647	0.006160362	0	0	0.000577534	0.003753971	0	0.000288767	0	0	0	0
ERR2697919	0.055910214	0.007516474	0.006795717	0.3694398682042834	0.5305807248764415	0	0.001544481	0.005457166	0	0	0.014106260296540362	0.004015651	0.000205931	0.000720758	0.000720758	0	0	0.002985997
ERR2697957	0.072124276	0.014856367895450622	0.009246702	0.1189125878436691	0.7518801627419553	0	0.00092467	0.009185057	0	0	0.001417828	0.003637036	0	0.017815312538527923	0	0	0	0
ERR2697970	0.022994416691154863	0.033059066	0.034307964	0.2691007934175727	0.6121069644431384	0	0	0.013003232441962973	0	0	0.002130473	0.013297090802233324	0	0	0	0	0	0
ERR2697978	0.017994028887275075	0.014847091099814412	0.006374566	0.700637457	0.2158476559348019	0	0.000322763	0.042362624061970465	0	0	0.001210361	0.000403454	0	0	0	0	0	0
ERR2698045	0.003756574	0.000429323	0.000643984	0.10947729955994419	0.1543415262423527	0	0	0.7226575077814748	0	0	0	0.002039283	0.000214661	0.006439841	0	0	0	0
ERR5332662	0.05183432	0.004970414	0.004378698	0.3588165680473373	0.5523076923076923	0	0.000946746	0.015976331360946745	0	0	0.004970414	0.00556213	0	0.000236686	0	0	0	0
ERR5332663	0.10185185185185185	0.005892256	0.009259259	0.18855218855218855	0.4385521885521885	0	0	0.2558922558922559	0	0	0	0	0	0	0	0	0	0
ERR5332707	0.007126542	0.027866605756052994	0.003471905	0.3409776153494746	0.5666514390132481	0	0.001370489	0.014892645043398812	0	0	0.007126542	0.005207857	0.000365464	0.024942896	0	0	0	0
