#OTU ID	d__Bacteria;p__Firmicutes_D	d__Bacteria;p__Proteobacteria	d__Bacteria;p__Bacteroidota	d__Bacteria;p__Actinobacteriota	d__Bacteria;p__Firmicutes_A	d__Bacteria;p__Deinococcota	d__Bacteria;p__Verrucomicrobiota	d__Bacteria;p__Firmicutes_B_370539	d__Bacteria;p__Firmicutes_C	d__Bacteria;p__Campylobacterota	d__Bacteria;p__Desulfobacterota_I	d__Bacteria;p__Cyanobacteria	d__Bacteria;__	d__Bacteria;p__Firmicutes_G	d__Bacteria;p__Fusobacteriota	d__Archaea;p__Thermoplasmatota	d__Archaea;p__Methanobacteriota_A_1229	d__Bacteria;p__Synergistota
ERR2523888	0.0022041	0.007383734	0.3506722503857174	0.015538902358386598	0.5987436632135773	0	0.010689883182719859	0	0.011240908089045624	0	0.003526559	0	0	0	0	0	0	0
ERR2523938	0.009460959	0.00181043	0.22846463820592186	0.011855399170706068	0.7143608012614612	0	0	0	0.030718916077790107	0.000116802	0.003212054	0	0	0	0	0	0	0
ERR2523946	0.034936774866379874	0.24599139616738366	0.32251336201277536	0.004432277	0.39043149524181986	0	0	0.000260722	0.000521444	0	0	0.000912528	0	0	0	0	0	0
ERR2523957	0.035500308	0.015230416	0.5122347275883308	0.008679097	0.4188924351867406	0	0.001175878	0.000839913	0.006999272	0	0.000223977	0	0.000223977	0	0	0	0	0
ERR2523986	0.015974127793022343	0	0.6412191297530381	0.003234026	0.3141905135241082	0	0	0	0.025382203	0	0	0	0	0	0	0	0	0
ERR2524105	0.00466066	0.00159794	0.4500421678725199	0.041413289537928895	0.45510231257490347	0	0	0.000266323	0.042700519	0	0.004216787	0	0	0	0	0	0	0
ERR2524124	0.067075632	0.003551538	0.13431269674711438	0.009443861	0.6652675760755509	0	0.10622326257163613	0	0.009524578	0	0.002582936	0.000161434	0	0.00024215	0	0	0.000968601	0.000645734
ERR2524127	0.019933933	0.000455633	0.38785738694612143	0.007290124	0.4489121767855109	0	0.076888028	0	0.056840187	0	0.001594715	0.000227816	0	0	0	0	0	0
ERR2579381	0.090681676	0.010318949343339587	0.4645611840733792	0.008859704	0.4132791327913279	0	0	0	0.008442777	0	0.002084636	0.001771941	0	0	0	0	0	0
ERR2579409	0.13161559888579388	0.003481894	0.3084958217270195	0.029944289693593314	0.5083565459610028	0	0.004874652	0	0.010445682451253482	0	0.002785515	0	0	0	0	0	0	0
ERR2579434	0.003007873	0.002432454	0.5124369000601574	0.001046217	0.4051212303507441	0	0	0.00062773	0.061622159	0	0.011429916564224622	0.002170899	0.000104622	0	0	0	0	0
ERR2579501	0.008076177	0.053711867	0.4405219538000353	0.011356021865632164	0.47289719626168225	0.000141069	0.006630224	0.000105801	0.005501675	0	0.000811144	0	0	0.000141069	0	0	0	0.000105801
ERR2579548	0.045274556	0.001121351	0.5015944212776395	0.000735887	0.4507831937484669	0	0	0	0.00031538	0	0.000175211	0	0	0	0	0	0	0
ERR2579660	0.021621941828090754	0.00787868	0.27551685326698655	0.003198863	0.57982347	0	0.093181684	0.00130324	0.001362479	0	0.008589539	0.002191813	0.000296191	0.001362479	0	0.000533144	0	0.003139624
ERR2579674	0.37856540084388185	0.11333333333333333	0.19839662447257383	0.021350210970464134	0.26286919831223626	0	0	0	0.014177215189873417	0	0.011308017	0	0	0	0	0	0	0
ERR2579758	0.023351648351648352	0.00922292	0.6876962323390895	0	0.2598116169544741	0	0.002452904	0	0.016385400313971742	0	0.001079278	0	0	0	0	0	0	0
ERR2579760	0.005337348	0.00417408	0.6243328315314083	0.025797180785548105	0.2628985903927741	0	0.034761188	0.000205283	0.037019297	0	0.005337348	0	0.000136855	0	0	0	0	0
ERR2579784	0.001663202	0	0.7908523908523909	0.004158004	0.096049896	0	0.040748441	0	0.062370062370062374	0	0.004158004	0	0	0	0	0	0	0
ERR2579836	0.041501154	0.022736730601899142	0.24091098248401618	0.007377142	0.5796163886051526	0	0.082170015	0.000605304	0.018575266	0	0.006204366	0	0.000151326	0.000151326	0	0	0	0
ERR2579880	0.023719988429273937	0.022707549898756146	0.3961527335840324	0.010702921608330923	0.506219265	0	0	0.002892682	0.031385594	0	0.004049754	0.002169511	0	0	0	0	0	0
ERR2579892	0.011422895455674199	0.018003476533399555	0.8306431586789174	0.002359076	0.123541098	0	0.005959772	0.000496648	0.004469829	0	0.002855724	0	0.000248324	0	0	0	0	0
ERR2579904	0.037723088	0.002742814	0.3410482810445238	0.010257373661469097	0.5916964117978584	0	0	0	0.013037760661281232	0	0.001352621	0.00161563	0.000375728	0.000150291	0	0	0	0
ERR2579929	0.045158115	0.20573397317583364	0.35400516795865633	0.002953119	0.10163652024117141	0	0.2747631352282515	0	0.010458963947336041	0	0.005291005	0	0	0	0	0	0	0
ERR2579930	0.000815217	0.001902174	0.2718070652173913	0.000543478	0.16915760869565216	0	0.5485054347826087	0	0.007269022	0	0	0	0	0	0	0	0	0
ERR2580078	0.03228369	0.070445807	0.604620126	0.001906517	0.2765720822344381	0	0.00505227	0.000349528	0.002796225	0	0.00384481	0.001207461	0.000921483	0	0	0	0	0
ERR2580098	0.006936068	0.042621632488942504	0.6523924406915963	0.001206273	0.25814234016887816	0	0.010755930840369923	0	0.003819863	0	0.005327704	0.018797748291113792	0	0	0	0	0	0
ERR2587851	0.028289768	0.002206211	0.41557752457551383	0.00511059	0.5368911974977658	0	0.000586461	0.000586461	0.009243744	0	0.001368409	0	0	8.378016085790885e-05	5.585344057193923e-05	0	0	0
ERR2696484	0.006032833	0	0.20819073032078428	0.011485585010731481	0.7596148268461047	0	0.001218168	0	0.010905504959684436	0	0.002552352	0	0	0	0	0	0	0
ERR2696512	0.053597436644334404	0.001747742	0.3853772210894262	0.001747742	0.3364404311098165	0	0.002039033	0.000873871	0.21817652199242646	0	0	0	0	0	0	0	0	0
ERR2696525	0.00622076	0.011773173615752404	0.1272942265179168	0.004318544	0.8405223381831268	0	0.007248985	0.00123387	0	0	0.000719757	0	0	0.000462701	0	0	0.000205645	0
ERR2696584	0.010638297872340425	0.1013437849944009	0.3370660694288914	0.001119821	0.5123180291153415	0	0.001119821	0.001119821	0.031354983	0	0.003919373	0	0	0	0	0	0	0
ERR2696716	0.003198128	0.010998439937597504	0.37476599063962557	0.001365055	0.32578003120124804	0	0.27265990639625587	0.000312012	0.00226209	0	0.00850234	0	0.000156006	0	0	0	0	0
ERR2696815	0.011961498925334081	0.007569386	0.19315951780207458	0.007289038	0.7152602560508363	0	0.034108961779272966	0.000654144	0.028502009158022614	0	0.001495187	0	0	0	0	0	0	0
ERR2696828	0.096534653	0.00330033	0.2004950495049505	0.033415842	0.23184818481848185	0	0.3510726072607261	0.000825083	0.082508251	0	0	0	0	0	0	0	0	0
ERR2696834	0.014934361	0.004697097	0.34361074310490186	0	0.507406961	0	0.12417198602914609	0.00072263	0.001686138	0	0.001927014	0	0.000481754	0	0.000361315	0	0	0
ERR2696903	0.013070127997115558	0.003515414	0.29150892374256354	0.016315125292951146	0.6638723634396971	0	0.000180278	0	0.00910402	0	0.001983054	0	0	0	0.000450694	0	0	0
ERR2696969	0.1339106901217862	0.010175913396481733	0.34668470906630583	0.008606225	0.47686062246278754	0	0.006549391	0	0.016292286874154262	0	0.000757781	0	0.000162382	0	0	0	0	0
